x,y,dy/dx,state
0,0,1,"None"
1,1,1,"None"
2,2,1,"None"
3,3,1,"None"
4,4,1,"None"
5,5,1,"None"
6,6,1,"None"
7,7,1,"None"
8,8,1,"None"
9,9,1,"None"
10,10,1,"None"
11,11,1,"None"
12,12,1,"None"
13,13,1,"None"
14,14,1,"None"
15,15,1,"None"
16,16,1,"None"
17,17,1,"None"
18,18,1,"None"
19,19,1,"None"
20,20,1,"None"
21,21,1,"None"
22,22,1,"None"
23,23,1,"None"
24,24,1,"None"
25,25,1,"None"
26,26,1,"None"
27,27,1,"None"
28,28,1,"None"
29,29,1,"None"
30,30,1,"None"
31,31,1,"None"
32,32,1,"None"
33,33,1,"None"
34,34,1,"None"
35,35,1,"None"
36,36,1,"None"
37,37,1,"None"
38,38,1,"None"
39,39,1,"None"
40,40,1,"None"
41,41,1,"None"
42,42,1,"None"
43,43,1,"None"
44,44,1,"None"
45,45,1,"None"
46,46,1,"None"
47,47,1,"None"
48,48,1,"None"
49,49,1,"None"
50,50,1,"None"
51,51,1,"None"
52,52,1,"None"
53,53,1,"None"
54,54,1,"None"
55,55,1,"None"
56,56,1,"None"
57,57,1,"None"
58,58,1,"None"
59,59,1,"None"
60,60,1,"None"
61,61,1,"None"
62,62,1,"None"
63,63,1,"None"
64,64,1,"None"
65,65,1,"None"
66,66,1,"None"
67,67,1,"None"
68,68,1,"None"
69,69,1,"None"
70,70,1,"None"
71,71,1,"None"
72,72,1,"None"
73,73,1,"None"
74,74,1,"None"
75,75,1,"None"
76,76,1,"None"
77,77,1,"None"
78,78,1,"None"
79,79,1,"None"
80,80,1,"None"
81,81,1,"None"
82,82,1,"None"
83,83,1,"None"
84,84,1,"None"
85,85,1,"None"
86,86,1,"None"
87,87,1,"None"
88,88,1,"None"
89,89,1,"None"
90,90,1,"None"
91,91,1,"None"
92,92,1,"None"
93,93,1,"None"
94,94,1,"None"
95,95,1,"None"
96,96,1,"None"
97,97,1,"None"
98,98,1,"None"
99,99,1,"None"
100,100,1,"None"
101,101,1,"None"
102,102,1,"None"
103,103,1,"None"
104,104,1,"None"
105,105,1,"None"
106,106,1,"None"
107,107,1,"None"
108,108,1,"None"
109,109,1,"None"
110,110,1,"None"
111,111,1,"None"
112,112,1,"None"
113,113,1,"None"
114,114,1,"None"
115,115,1,"None"
116,116,1,"None"
117,117,1,"None"
118,118,1,"None"
119,119,1,"None"
120,120,1,"None"
121,121,1,"None"
122,122,1,"None"
123,123,1,"None"
124,124,1,"None"
125,125,1,"None"
126,126,1,"None"
127,127,1,"None"
128,128,1,"None"
129,129,1,"None"
130,130,1,"None"
131,131,1,"None"
132,132,1,"None"
133,133,1,"None"
134,134,1,"None"
135,135,1,"None"
136,136,1,"None"
137,137,1,"None"
138,138,1,"None"
139,139,1,"None"
140,140,1,"None"
141,141,1,"None"
142,142,1,"None"
143,143,1,"None"
144,144,1,"None"
145,145,1,"None"
146,146,1,"None"
147,147,1,"None"
148,148,1,"None"
149,149,1,"None"
150,150,1,"None"
151,151,1,"None"
152,152,1,"None"
153,153,1,"None"
154,154,1,"None"
155,155,1,"None"
156,156,1,"None"
157,157,1,"None"
158,158,1,"None"
159,159,1,"None"
160,160,1,"None"
161,161,1,"None"
162,162,1,"None"
163,163,1,"None"
164,164,1,"None"
165,165,1,"None"
166,166,1,"None"
167,167,1,"None"
168,168,1,"None"
169,169,1,"None"
170,170,1,"None"
171,171,1,"None"
172,172,1,"None"
173,173,1,"None"
174,174,1,"None"
175,175,1,"None"
176,176,1,"None"
177,177,1,"None"
178,178,1,"None"
179,179,1,"None"
180,180,1,"None"
181,181,1,"None"
182,182,1,"None"
183,183,1,"None"
184,184,1,"None"
185,185,1,"None"
186,186,1,"None"
187,187,1,"None"
188,188,1,"None"
189,189,1,"None"
190,190,1,"None"
191,191,1,"None"
192,192,1,"None"
193,193,1,"None"
194,194,1,"None"
195,195,1,"None"
196,196,1,"None"
197,197,1,"None"
198,198,1,"None"
199,199,1,"None"
200,200,1,"None"
201,201,1,"None"
202,202,1,"None"
203,203,1,"None"
204,204,1,"None"
205,205,1,"None"
206,206,1,"None"
207,207,1,"None"
208,208,1,"None"
209,209,1,"None"
210,210,1,"None"
211,211,1,"None"
212,212,1,"None"
213,213,1,"None"
214,214,1,"None"
215,215,1,"None"
216,216,1,"None"
217,217,1,"None"
218,218,1,"None"
219,219,1,"None"
220,220,1,"None"
221,221,1,"None"
222,222,1,"None"
223,223,1,"None"
224,224,1,"None"
225,225,1,"None"
226,226,1,"None"
227,227,1,"None"
228,228,1,"None"
229,229,1,"None"
230,230,1,"None"
231,231,1,"None"
232,232,1,"None"
233,233,1,"None"
234,234,1,"None"
235,235,1,"None"
236,236,1,"None"
237,237,1,"None"
238,238,1,"None"
239,239,1,"None"
240,240,1,"None"
241,241,1,"None"
242,242,1,"None"
243,243,1,"None"
244,244,1,"None"
245,245,1,"None"
246,246,1,"None"
247,247,1,"None"
248,248,1,"None"
249,249,1,"None"
250,250,1,"None"
251,251,1,"None"
252,252,1,"None"
253,253,1,"None"
254,254,1,"None"
255,255,1,"None"
256,256,1,"None"
257,257,1,"None"
258,258,1,"None"
259,259,1,"None"
260,260,1,"None"
261,261,1,"None"
262,262,1,"None"
263,263,1,"None"
264,264,1,"None"
265,265,1,"None"
266,266,1,"None"
267,267,1,"None"
268,268,1,"None"
269,269,1,"None"
270,270,1,"None"
271,271,1,"None"
272,272,1,"None"
273,273,1,"None"
274,274,1,"None"
275,275,1,"None"
276,276,1,"None"
277,277,1,"None"
278,278,1,"None"
