x,y,dy/dx,state
0,1,0,"None"
1,1,0,"None"
2,1,0,"None"
3,1,0,"None"
4,1,0,"None"
5,1,0,"None"
6,1,0,"None"
7,1,0,"None"
8,1,0,"None"
9,1,0,"None"
10,1,0,"None"
11,1,0,"None"
12,1,0,"None"
13,1,0,"None"
14,1,0,"None"
15,1,0,"None"
16,1,0,"None"
17,1,0,"None"
18,1,0,"None"
19,1,0,"None"
20,1,0,"None"
21,1,0,"None"
22,1,0,"None"
23,1,0,"None"
24,1,0,"None"
25,1,0,"None"
26,1,0,"None"
27,1,0,"None"
28,1,0,"None"
29,1,0,"None"
30,1,0,"None"
31,1,0,"None"
32,1,0,"None"
33,1,0,"None"
34,1,0,"None"
35,1,0,"None"
36,1,0,"None"
37,1,0,"None"
38,1,0,"None"
39,1,0,"None"
40,1,0,"None"
41,1,0,"None"
42,1,0,"None"
43,1,0,"None"
44,1,0,"None"
45,1,0,"None"
46,1,0,"None"
47,1,0,"None"
48,1,0,"None"
49,1,0,"None"
50,1,0,"None"
51,1,0,"None"
52,1,0,"None"
53,1,0,"None"
54,1,0,"None"
55,1,0,"None"
56,1,0,"None"
57,1,0,"None"
58,1,0,"None"
59,1,0,"None"
60,1,0,"None"
61,1,0,"None"
62,1,0,"None"
63,1,0,"None"
64,1,0,"None"
65,1,0,"None"
66,1,0,"None"
67,1,0,"None"
68,1,0,"None"
69,1,0,"None"
70,1,0,"None"
71,1,0,"None"
72,1,0,"None"
73,1,0,"None"
74,1,0,"None"
75,1,0,"None"
76,1,0,"None"
77,1,0,"None"
78,1,0,"None"
79,1,0,"None"
80,1,0,"None"
81,1,0,"None"
82,1,0,"None"
83,1,0,"None"
84,1,0,"None"
85,1,0,"None"
86,1,0,"None"
87,1,0,"None"
88,1,0,"None"
89,1,0,"None"
90,1,0,"None"
91,1,0,"None"
92,1,0,"None"
93,1,0,"None"
94,1,0,"None"
95,1,0,"None"
96,1,0,"None"
97,1,0,"None"
98,1,0,"None"
99,1,0,"None"
100,1,0,"None"
101,1,0,"None"
102,1,0,"None"
103,1,0,"None"
104,1,0,"None"
105,1,0,"None"
106,1,0,"None"
107,1,0,"None"
108,1,0,"None"
109,1,0,"None"
110,1,0,"None"
111,1,0,"None"
112,1,0,"None"
113,1,0,"None"
114,1,0,"None"
115,1,0,"None"
116,1,0,"None"
117,1,0,"None"
118,1,0,"None"
119,1,0,"None"
120,1,0,"None"
121,1,0,"None"
122,1,0,"None"
123,1,0,"None"
124,1,0,"None"
125,1,0,"None"
126,1,0,"None"
127,1,0,"None"
128,1,0,"None"
129,1,0,"None"
130,1,0,"None"
131,1,0,"None"
132,1,0,"None"
133,1,0,"None"
134,1,0,"None"
135,1,0,"None"
136,1,0,"None"
137,1,0,"None"
138,1,0,"None"
139,1,0,"None"
140,1,0,"None"
141,1,0,"None"
142,1,0,"None"
143,1,0,"None"
144,1,0,"None"
145,1,0,"None"
146,1,0,"None"
147,1,0,"None"
148,1,0,"None"
149,1,0,"None"
150,1,0,"None"
151,1,0,"None"
152,1,0,"None"
153,1,0,"None"
154,1,0,"None"
155,1,0,"None"
156,1,0,"None"
157,1,0,"None"
158,1,0,"None"
159,1,0,"None"
160,1,0,"None"
161,1,0,"None"
162,1,0,"None"
163,1,0,"None"
164,1,0,"None"
165,1,0,"None"
166,1,0,"None"
167,1,0,"None"
168,1,0,"None"
169,1,0,"None"
170,1,0,"None"
171,1,0,"None"
172,1,0,"None"
173,1,0,"None"
174,1,0,"None"
175,1,0,"None"
176,1,0,"None"
177,1,0,"None"
178,1,0,"None"
179,1,0,"None"
180,1,0,"None"
181,1,0,"None"
182,1,0,"None"
183,1,0,"None"
184,1,0,"None"
185,1,0,"None"
186,1,0,"None"
187,1,0,"None"
188,1,0,"None"
189,1,0,"None"
190,1,0,"None"
191,1,0,"None"
192,1,0,"None"
193,1,0,"None"
194,1,0,"None"
195,1,0,"None"
196,1,0,"None"
197,1,0,"None"
198,1,0,"None"
199,1,0,"None"
